step,true_rul,pred_rul,hi,status_level,status_name,rul_km,sigma_km
1.0,0.800000011920929,0.6970221996307373,0.6970221996307372,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
2.0,0.800000011920929,0.6994228579781272,0.6972622654654762,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
3.0,0.800000011920929,0.7018235163255171,0.6977423971349542,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
4.0,0.800000011920929,0.7042241746729071,0.6984625946391713,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
5.0,0.800000011920929,0.706624833020297,0.6994228579781273,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
6.0,0.800000011920929,0.7090254913676869,0.7006231871518223,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
7.0,0.800000011920929,0.7114261497150768,0.7020635821602562,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
8.0,0.800000011920929,0.7110798864653616,0.7034693508437184,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
9.0,0.800000011920929,0.7066132408199888,0.7044284549626437,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
10.0,0.800000011920929,0.7021465951746161,0.7049408945170316,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
11.0,0.800000011920929,0.6976799495292433,0.7050066695068822,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
12.0,0.800000011920929,0.6932133038838705,0.7043857140974565,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
13.0,0.800000011920929,0.6887466582384977,0.7030780282887545,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
14.0,0.800000011920929,0.6842800125931249,0.7010836120807763,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
15.0,0.800000011920929,0.6845823815374663,0.6988793669324933,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
16.0,0.800000011920929,0.6860770041292364,0.6965845182086483,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
17.0,0.800000011920929,0.6875716267210065,0.6941990659092412,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
18.0,0.800000011920929,0.6890662493127765,0.6919977021939827,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
19.0,0.800000011920929,0.6905608719045465,0.6903924653024385,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
20.0,0.800000011920929,0.6920554944963166,0.6893833552346085,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
21.0,0.7987878900585752,0.6925151384238041,0.6888668741240646,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
22.0,0.7927272807468068,0.6888348676941611,0.6884290305050936,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
23.0,0.7866666714350382,0.6851545969645182,0.6880698243776956,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
24.0,0.7806060621232698,0.6814743262348752,0.6877892557418707,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
25.0,0.7745454528115012,0.6777940555052324,0.6871104231386475,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
26.0,0.7684848434997327,0.6741137847755895,0.6859141012032828,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
27.0,0.7624242341879642,0.6704335140459465,0.6842002899357768,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
28.0,0.7541818076914006,0.6669106158343229,0.6819847265879314,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
29.0,0.7444848364049738,0.663492632634712,0.679277902660948,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
30.0,0.7347878651185469,0.6600746494351011,0.6760798181548263,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
31.0,0.72509089383212,0.6566566662354902,0.672493970935995,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
32.0,0.7153939225456931,0.6532386830358794,0.6689343524701667,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
33.0,0.7056969512592662,0.6498206998362686,0.6654009627573418,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
34.0,0.6959999799728394,0.6464027166366577,0.6618938017975201,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
35.0,0.6863030177174192,0.6050193065946752,0.6546163269064644,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
36.0,0.6766060554619991,0.5636358965526926,0.6435685380841747,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
37.0,0.666909093206579,0.5222524865107102,0.628750435330651,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
38.0,0.6572121309511589,0.4808690764687277,0.6101462813940914,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
39.0,0.6475151686957388,0.43948566642674514,0.5877455847732949,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
40.0,0.6378182064403186,0.39810225638476265,0.5615483454682609,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
41.0,0.6281212405724959,0.3646280485572236,0.5323454837004343,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
42.0,0.618424269286069,0.34301764405134944,0.5013233798019813,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
43.0,0.6087272979996421,0.32140723954547523,0.46848203377290193,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
44.0,0.5990303267132152,0.2997968350396011,0.4338214456131963,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
45.0,0.5893333554267883,0.27818643053372694,0.4011381580071015,4,АВАРИЙНОЕ,302888.9561790993,666.5290883891016
